0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:16:26 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:16:26 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:16:47 -0500] "POST /StudentInfoSystem/update_password HTTP/1.1" 500 3312
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:17:25 -0500] "GET /StudentInfoSystem/reset_password HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:17:25 -0500] "GET /StudentInfoSystem/resources/resetPassword.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:17:25 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:17:25 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:18:24 -0500] "GET /StudentInfoSystem/reset_password HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:18:24 -0500] "GET /StudentInfoSystem/resources/resetPassword.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:18:24 -0500] "GET /StudentInfoSystem/resources/jquery.js HTTP/1.1" 200 89475
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:18:24 -0500] "GET /StudentInfoSystem/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:18:24 -0500] "GET /StudentInfoSystem/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:18:24 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:18:24 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:18:25 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:20:28 -0500] "GET /StudentInfoSystem/reset_password HTTP/1.1" 200 6797
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:20:28 -0500] "GET /StudentInfoSystem/resources/resetPassword.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:20:28 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:20:28 -0500] "GET /StudentInfoSystem/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:20:28 -0500] "GET /StudentInfoSystem/resources/jquery.js HTTP/1.1" 200 89475
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:20:28 -0500] "GET /StudentInfoSystem/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:20:28 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:20:29 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:21:29 -0500] "GET /StudentInfoSystem/reset_password HTTP/1.1" 200 6832
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:21:29 -0500] "GET /StudentInfoSystem/resources/resetPassword.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:21:29 -0500] "GET /StudentInfoSystem/resources/jquery.js HTTP/1.1" 200 89475
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:21:29 -0500] "GET /StudentInfoSystem/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:21:29 -0500] "GET /StudentInfoSystem/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:21:29 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:21:29 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:21:30 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:23:53 -0500] "GET /StudentInfoSystem/reset_password HTTP/1.1" 200 6993
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:23:53 -0500] "GET /StudentInfoSystem/resources/resetPassword.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:23:53 -0500] "GET /StudentInfoSystem/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:23:53 -0500] "GET /StudentInfoSystem/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:23:53 -0500] "GET /StudentInfoSystem/resources/jquery.js HTTP/1.1" 200 89475
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:23:53 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:23:54 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:23:54 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:21 -0500] "GET /StudentInfoSystem/reset_password HTTP/1.1" 200 6998
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:21 -0500] "GET /StudentInfoSystem/resources/resetPassword.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:21 -0500] "GET /StudentInfoSystem/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:21 -0500] "GET /StudentInfoSystem/resources/jquery.js HTTP/1.1" 200 89475
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:21 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:21 -0500] "GET /StudentInfoSystem/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:21 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:22 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:26 -0500] "POST /StudentInfoSystem/update_password HTTP/1.1" 400 843
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:43 -0500] "GET /StudentInfoSystem/reset_password HTTP/1.1" 200 6934
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:43 -0500] "GET /StudentInfoSystem/resources/resetPassword.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:43 -0500] "GET /StudentInfoSystem/resources/resetPassword.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:43 -0500] "GET /StudentInfoSystem/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:43 -0500] "GET /StudentInfoSystem/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [13/Jul/2020:21:24:43 -0500] "GET /StudentInfoSystem/resources/jquery.js HTTP/1.1" 200 89475
